"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1415,,
"FRA","France","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1387,,
"FRA","France","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1391,,
"FRA","France","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1414,,
"FRA","France","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1416,,
"FRA","France","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1400,,
"FRA","France","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1424,,
"FRA","France","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1433,,
"FRA","France","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1419,,
"FRA","France","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1428,,
"FRA","France","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1435,,
